index,state,region,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score
25,Montana,montana,0.853,72.394433,0.009509803,27.294395,0.015859491,97.496293,0.048279083,92.12628,No policy,0,8.851371,1.517812,38656.91489,5.90817,162.234043,28.754636,0.07266436,29.504957,0,100.003383,20,5.566048,0.1,73.258159,1.2,55.215242,23.3,3.429194,8.7,96.350186,23.7,80.706898,0.763,12.404287,2.4,12.356526,0.014,26.31711,11687.64843,18.326179
26,Nebraska,nebraska,0.905,32.724433,0.006487909,21.454453,0.006549176,60.791014,0.028074838,47.448393,No policy,0,3.988466,36.944881,31049.71591,38.510639,163.352273,29.35977,0.075078864,32.620583,0.002007496,73.139965,10.5,46.393919,0.076619982,87.441957,0.5,97.136602,11.6,49.183862,15.3,85.830412,16.2,92.517261,0.786,18.605405,3.4,18.852637,0.016,35.885392,10366.94934,40.609423
27,Nevada,nevada,0.894,41.378886,0.036212588,66.437172,0.004088478,35.926709,0.02294086,30.260176,No policy,0,2.977105,63.262967,22882.47639,93.021503,186.778594,42.139986,0.059487625,14.765573,0.011497884,29.796577,7.9,72.572892,0.2,42.803533,1.7,18.035626,8.8,76.216407,41.7,41.262126,80.7,16.74659,0.905,75.981682,26.7,78.571349,0.016,35.885392,8899.835137,72.878595
28,New Hampshire,new hampshire,0.894,41.740795,0.00667718,21.830821,0.002731708,21.301604,0.031018912,57.048043,No policy,0,2.421276,79.211369,32184.67584,30.84566,245.579568,69.337544,0.095272727,59.581833,0,100.003383,8,71.168308,0.1,78.649212,0.6,95.067787,8.9,74.61828,42.1,40.754307,18.3,89.622877,0.686,2.393286,8.6,44.974401,0.012,17.732354,9650.080428,56.357171
29,New Jersey,new jersey,0.806,92.182903,0.106,97.496705,0.003933241,34.2313,0.030431633,55.184406,Policy in place,100,1.849398,92.407232,34318.32594,19.150505,219.720989,58.681241,0.099704777,65.00411,0.014489304,24.107531,4.8,95.887938,0.2,50.346196,1.7,18.97036,6,95.430394,51.9,30.687384,52.4,37.563521,0.883,64.227231,170.2,98.921345,0.012,17.732354,8271.671062,84.502429
30,New Mexico,new mexico,0.905,31.984724,0.011368337,30.727591,0.00521795,47.974658,0.022663881,29.366516,No policy,0,4.655538,24.54928,31204.85175,37.410872,195.41779,46.730327,0.068108108,23.914791,0.002274289,70.958984,15,17.680949,0.3,12.990503,2.1,6.243467,16.7,16.957441,40.1,43.222273,87.3,13.981781,0.914,80.381483,8.1,42.889797,0.026,78.795617,12287.59193,11.884476
31,New York,new york,0.612,99.998925,0.273,99.99931,0.005957383,55.331357,0.063762694,99.064203,Policy in place,100,1.757243,93.948722,19144.59857,99.398693,556.116015,99.543437,0.197,99.876608,0.024759129,15.507671,4.3,97.708702,0.2,33.331793,1.5,25.585659,7,90.036938,42.9,39.743408,24,80.187569,0.904,75.474277,146,98.510789,0.03,88.499105,6549.118013,98.958608
32,North Carolina,north carolina,0.914,25.469771,0.011467231,30.907159,0.00284998,22.535013,0.019291309,19.217918,Policy in place,100,4.123769,34.090824,30393.88039,43.316176,136.300417,15.662385,0.061457953,16.664943,0.000662988,86.479653,11.8,36.422192,0.3,19.057543,1.7,15.163984,12.8,39.426305,104.1,8.032888,97.8,10.541924,0.875,59.776513,7.2,39.162543,0.022,64.32089,10752.07266,32.996346
33,North Dakota,north dakota,0.893,41.843379,0.003800705,15.902261,0.003566815,30.228838,0.038201071,76.551478,No policy,0,10.265989,0.610251,23956.36364,88.714958,101.818182,3.933923,0.052410901,8.993748,0,100.003383,18.5,7.927451,0.1,74.347382,1,70.355898,20.8,6.351769,20.6,75.50825,25.1,78.324854,0.809,26.777703,3.3,17.879121,0.007,3.712853,13332.00501,5.118511
34,Ohio,ohio,0.916,23.494205,0.015611196,38.158183,0.003050816,24.65829,0.023844522,33.219023,No policy,0,3.332459,53.175245,32113.55068,31.298607,208.250166,53.24716,0.095797853,60.242202,0.00411742,58.219834,8.4,67.265637,0.1,64.76428,0.9,79.429481,9.1,72.573058,47.4,34.87467,37.6,57.035112,0.82,31.397691,9.7,48.657163,0.015,31.018463,9696.290823,55.310961
